Bridge,Transfer Event Signature
Matic/Polygon Bridge,0x9b217a401a5ddf7c4d474074aff9958a18d48690d77cc2151c4706aa7348b401
xDai,0x4ab7d581336d92edbea22636a613e8e76c99ac7f91137c1523db38dbfb3bf329
